jd,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,F10,F81,S10,S10B,XM10,XM10B
2457939.0,3,3,3,3,3,3,3,7,71.8,75.7,62.7,65.0,68.0,76.0
2457940.0,3,3,3,3,3,0,0,3,73.0,75.6,63.0,65.0,70.7,75.8
2457941.0,3,3,7,7,7,7,7,15,75.9,75.6,63.3,65.0,73.6,75.6
2457942.0,7,7,3,3,3,3,3,7,79.5,75.5,63.7,64.9,73.4,75.5
2457943.0,3,3,3,3,3,0,3,3,86.6,75.5,64.3,64.9,76.9,75.5
2457944.0,48,27,7,48,7,15,27,27,90.9,75.5,64.9,64.9,78.6,75.5
2457945.0,15,27,7,3,3,7,3,7,95.1,75.7,65.5,64.8,77.9,75.6
2457946.0,7,15,15,7,3,7,3,7,91.1,75.8,66.2,64.8,80.4,75.7
2457947.0,3,3,3,3,3,3,0,3,90.2,76.0,66.8,64.8,84.2,75.7
2457948.0,3,3,3,3,3,3,3,7,92.3,76.1,67.3,64.8,85.8,75.8
2457949.0,3,3,3,3,3,3,0,3,93.9,76.2,67.7,64.7,88.1,75.9
2457950.0,3,3,3,3,3,3,3,3,91.6,76.2,67.9,64.7,82.9,75.9
2457951.0,7,3,27,48,80,48,80,48,86.5,76.2,67.8,64.7,80.6,75.9
2457952.0,15,27,27,27,27,80,7,7,85.6,76.3,67.3,64.7,74.9,75.8
2457953.0,15,15,7,3,7,3,0,3,78.2,76.3,66.6,64.6,72.3,75.7
2457954.0,3,3,0,3,3,3,3,3,73.1,76.4,65.7,64.6,72.3,75.7
2457955.0,3,7,3,3,3,7,15,15,70.2,76.5,64.7,64.6,72.4,75.8
2457956.0,27,15,15,3,7,15,3,15,69.4,76.7,63.7,64.6,71.0,75.9
2457957.0,15,7,27,48,7,7,7,15,69.5,76.9,62.9,64.6,70.5,76.0
2457958.0,15,15,15,15,15,7,7,27,70.6,77.1,62.2,64.7,69.2,76.0
2457959.0,15,15,15,7,7,7,7,27,70.1,77.4,61.7,64.7,68.3,76.1
2457960.0,7,7,7,7,15,7,7,15,69.8,78.0,61.3,64.8,68.5,76.3
2457961.0,15,7,27,7,7,7,3,3,68.6,79.3,61.2,64.9,69.9,76.5
2457962.0,3,3,7,3,7,7,3,15,68.3,79.9,61.2,65.0,71.4,76.8
2457963.0,7,3,3,7,7,15,15,7,69.5,80.6,61.3,65.1,72.2,77.0
2457964.0,3,3,7,3,3,3,0,3,69.9,81.2,61.6,65.3,70.3,77.2
2457965.0,3,7,3,3,3,0,3,0,69.5,81.7,62.0,65.4,67.1,77.4
2457966.0,0,3,0,3,3,0,0,3,72.2,82.2,62.4,65.5,66.6,77.6
2457967.0,3,3,7,7,15,3,3,3,73.5,82.5,62.8,65.6,69.1,77.6
2457968.0,3,3,3,3,7,7,3,3,74.4,82.5,63.2,65.6,71.6,77.6
2457969.0,3,3,3,3,7,27,27,27,75.1,82.6,63.4,65.7,75.4,77.7
